Timestamp,YearOfStudy,EnglishFirstLanguage,Query
10/12/2023 9:16:47,Staff,Yes,QQ Do I need to renew my study permit? QQ How can I take a break from my studies? QQ What are tuition fees at Carleton University? QQ How can I study abroad?
10/12/2023 11:03:27,4+,Yes,QQ Can you apply to graduate while still needing courses?
10/12/2023 11:10:31,3,Yes,QQ when are we supposed to apply for co-op jobs? QQ  How does the co-op process work?
10/12/2023 12:02:35,2,Yes,qq how do you apply for a minor
10/12/2023 12:55:44,3,No,QQ Is there health and counselling services for ADHD?
10/12/2023 12:55:53,3,Yes,QQ When is reading week?
10/12/2023 12:57:47,2,Yes,QQ Where to put electric scooter
10/12/2023 13:12:47,4+,Yes,QQ which graduation form to apply to? QQwhat happens if I applied for graduation and failed an elective which would be my last 0.5 credit before graduating. Can I still graduate?  
10/12/2023 13:20:59,3,No,QQ How can you transfer to another program?
10/12/2023 13:22:24,2,Yes,qq where are the chonkers
10/12/2023 13:59:42,4+,No,QQ How do I get my confirmation of graduation letter?
10/12/2023 16:38:33,Have not been admitted yet,Yes,QQ I'm applying and I was wondering if there's anything I should know before applying?
10/12/2023 16:42:53,Have not been admitted yet,No,qq is it still possible to apply to carleton now especially for MechEng
10/12/2023 16:46:08,Have not been admitted yet,No,QQ I would like to apply for computer science program next year in Carleton. Average 83% is enough for applying Computer Science in Carleton?
10/12/2023 16:47:51,Have not been admitted yet,Yes,QQWhat's the approximate time to receive word back about my application?
10/12/2023 16:52:07,Have not been admitted yet,No,Any insights you can give to help strengthen my application when i apply for cs as an international highschool student for next term
10/12/2023 16:53:43,2,No,QQ when/how do i apply for campus jobs
10/12/2023 16:54:11,Have not been admitted yet,Yes,qq is it worth applying to carleton cs qq how does the coop work here? 
10/12/2023 16:56:06,Have not been admitted yet,Yes,qq What is the timeline for applying for the BGins masters program
10/12/2023 16:59:40,Have not been admitted yet,Yes,i don't have any questions i would ask
10/12/2023 17:04:32,Have not been admitted yet,No,"QQ My application status changed to ""recommend for assessment"". What's that mean?"
10/12/2023 17:06:59,Have not been admitted yet,Yes,QQ Why is my application still not responded to?
10/12/2023 17:13:13,Have not been admitted yet,No,QQ if there is an option to get my application fee waived QQ when will I hear a response for winter residence
10/12/2023 17:16:05,Have not been admitted yet,Yes,QQ How do I apply for OSAP? QQCan I go to campus and get the financial aid department to help me?
10/12/2023 17:17:34,Have not been admitted yet,Yes,no questions sorry
10/12/2023 17:26:29,Have not been admitted yet,No,QQ How do I get involved at Carleton? QQ Can I get a bus discount? QQ Where can I get housing?
10/12/2023 19:19:11,4+,No,qq how do i apply to be a ta qq what research opportunities are there
10/12/2023 20:23:36,3,Yes,QQ Where do you go to apply to become a TA?
10/13/2023 9:35:26,Have not been admitted yet,Yes,qq what are some things I should know for my first year of univeristy
10/13/2023 11:28:31,Staff,Yes,QQ What is the campus wifi? QQ How do I log into online learning? QQ How do I get IT help? 
10/13/2023 12:24:32,Staff,Yes,QQ How do I read my audit? QQ Can I schedule an appointment for academic advising? QQ Why can't I register for this course?
10/13/2023 14:34:07,Have not been admitted yet,No,QQ Is there a day to join clubs? QQ Can I start my own club?
10/13/2023 15:30:19,Staff,Yes,QQ What clubs can I join? QQ How can I get accommodations for my classes?
10/13/2023 16:52:05,Staff,Yes,QQ How do I opt out of student fees? QQ What scholarships can I apply for? QQ What financial aid can I apply for?
